ORPHAcode,Disorder name,Disorder type,Gene symbol,Gene name,Gene type,Gene synonyms,Locus,Validation source
329903,Immunoglobulin-mediated membranoproliferative glomerulonephritis,Clinical subtype,CFH,complement factor H,gene with protein product,"['ARMD4', 'ARMS1', 'FHL1', 'H factor 2 (complement)', 'HUS', 'age-related maculopathy susceptibility 1', 'beta-1H']","[{'GeneLocus': '1q31.3', 'LocusKey': 1}]",21396679[PMID]
329903,Immunoglobulin-mediated membranoproliferative glomerulonephritis,Clinical subtype,DGKE,diacylglycerol kinase epsilon,gene with protein product,"['DAGK6', 'DGK']","[{'GeneLocus': '17q22', 'LocusKey': 1}]",23274426[PMID]
329931,C3 glomerulonephritis,Histopathological subtype,CFHR1,complement factor H related 1,gene with protein product,"['CFHL', 'FHR1', 'H36-1', 'H36-2']","[{'GeneLocus': '1q31.3', 'LocusKey': 1}]",23728178[PMID]
329931,C3 glomerulonephritis,Histopathological subtype,CFHR5,complement factor H related 5,gene with protein product,"['FHR-5', 'FHR5', 'Factor H related protein 5', 'factor H related protein 5']","[{'GeneLocus': '1q31.3', 'LocusKey': 1}]",20800271[PMID]_22503529[PMID]_23026947[PMID]
329931,C3 glomerulonephritis,Histopathological subtype,CFHR3,complement factor H related 3,gene with protein product,"['DOWN16', 'FHR-3', 'FHR3', 'HLF4']","[{'GeneLocus': '1q31.3', 'LocusKey': 1}]",22626820[PMID]
329931,C3 glomerulonephritis,Histopathological subtype,CFHR2,complement factor H related 2,gene with protein product,['FHR2'],"[{'GeneLocus': '1q31.3', 'LocusKey': 1}]",31980588[PMID]
329967,Intermittent hydrarthrosis,Disease,MEFV,"MEFV innate immunity regulator, pyrin",gene with protein product,"['FMF', 'TRIM20', 'marenostrin']","[{'GeneLocus': '16p13.3', 'LocusKey': 1}]",16802374[PMID]
329967,Intermittent hydrarthrosis,Disease,TNFRSF1A,TNF receptor superfamily member 1A,gene with protein product,"['CD120a', 'TNF-R', 'TNF-R-I', 'TNF-R55', 'TNFAR', 'TNFR60']","[{'GeneLocus': '12p13.31', 'LocusKey': 1}]",22887853[PMID]
329971,Generalized juvenile polyposis/juvenile polyposis coli,Clinical subtype,BMPR1A,bone morphogenetic protein receptor type 1A,gene with protein product,"['ALK3', 'CD292']","[{'GeneLocus': '10q23.2', 'LocusKey': 1}]",18823382[PMID]
329971,Generalized juvenile polyposis/juvenile polyposis coli,Clinical subtype,ENG,endoglin,gene with protein product,"['CD105', 'END', 'HHT1']","[{'GeneLocus': '9q34.11', 'LocusKey': 1}]",17204053[PMID]_18178612[PMID]
329971,Generalized juvenile polyposis/juvenile polyposis coli,Clinical subtype,SMAD4,SMAD family member 4,gene with protein product,['DPC4'],"[{'GeneLocus': '18q21.2', 'LocusKey': 1}]",18823382[PMID]
330032,Hemoglobin Lepore-beta-thalassemia syndrome,Disease,HBB,hemoglobin subunit beta,gene with protein product,"['CD113t-C', 'beta-globin']","[{'GeneLocus': '11p15.4', 'LocusKey': 1}]",18932069[PMID]
330032,Hemoglobin Lepore-beta-thalassemia syndrome,Disease,HBD,hemoglobin subunit delta,gene with protein product,['HBK'],"[{'GeneLocus': '11p15.4', 'LocusKey': 1}]",18932069[PMID]
330041,Hemoglobin M disease,Disease,HBA2,hemoglobin subunit alpha 2,gene with protein product,['HBA-T2'],"[{'GeneLocus': '16p13.3', 'LocusKey': 1}]",8416301[PMID]_25031065[PMID]
330041,Hemoglobin M disease,Disease,HBB,hemoglobin subunit beta,gene with protein product,"['CD113t-C', 'beta-globin']","[{'GeneLocus': '11p15.4', 'LocusKey': 1}]",8416301[PMID]
330041,Hemoglobin M disease,Disease,HBA1,hemoglobin subunit alpha 1,gene with protein product,['HBA-T3'],"[{'GeneLocus': '16p13.3', 'LocusKey': 1}]",8416301[PMID]_3026948[PMID]
330050,DNM1L-related encephalopathy due to mitochondrial and peroxisomal fission defect,Etiological subtype,DNM1L,dynamin 1 like,gene with protein product,"['DRP1', 'DVLP', 'DYMPLE', 'HDYNIV', 'VPS1']","[{'GeneLocus': '12p11.21', 'LocusKey': 1}]",17460227[PMID]
330054,Congenital cataract-progressive muscular hypotonia-hearing loss-developmental delay syndrome,Disease,GFER,"growth factor, augmenter of liver regeneration",gene with protein product,"['ALR', 'ERV1', 'ERV1 homolog (S. cerevisiae)', 'FAD-linked sulfhydryl oxidase ALR', 'HERV1', 'HPO1', 'HPO2', 'HSS', 'hepatic regenerative stimulation substance']","[{'GeneLocus': '16p13.3', 'LocusKey': 1}]",19409522[PMID]
331176,Severe congenital neutropenia due to G6PC3 deficiency,Disease,G6PC3,glucose-6-phosphatase catalytic subunit 3,gene with protein product,"['UGRP', 'Ubiquitous glucose-6-phosphatase catalytic subunit-related protein']","[{'GeneLocus': '17q21.31', 'LocusKey': 1}]",23018568[PMID]_19118303[PMID]_20799326[PMID]
331187,Immunodeficiency due to MASP-2 deficiency,Disease,MASP2,MBL associated serine protease 2,gene with protein product,"['MAP-2', 'Map19', 'mannose-binding lectin associated protein 19', 'mannose-binding lectin-associated serine protease 2', 'sMAP']","[{'GeneLocus': '1p36.22', 'LocusKey': 1}]",12904520[PMID]
331190,Immunodeficiency due to ficolin3 deficiency,Disease,FCN3,ficolin 3,gene with protein product,"['FCNH', 'HAKA1', 'Hakata antigen']","[{'GeneLocus': '1p36.11', 'LocusKey': 1}]",19535802[PMID]
331206,Severe combined immunodeficiency due to complete RAG1/2 deficiency,Disease,RAG1,recombination activating 1,gene with protein product,"['MGC43321', 'RING finger protein 74', 'RNF74', 'V(D)J recombination-activating protein 1', 'recombination activating protein 1']","[{'GeneLocus': '11p12', 'LocusKey': 1}]",8810255[PMID]
331206,Severe combined immunodeficiency due to complete RAG1/2 deficiency,Disease,RAG2,recombination activating 2,gene with protein product,,"[{'GeneLocus': '11p12', 'LocusKey': 1}]",8810255[PMID]
331226,Susceptibility to infection due to TYK2 deficiency,Disease,TYK2,tyrosine kinase 2,gene with protein product,['JTK1'],"[{'GeneLocus': '19p13.2', 'LocusKey': 1}]",17088085[PMID]_17521577[PMID]
352328,MEGDEL syndrome,Disease,SERAC1,serine active site containing 1,gene with protein product,['FLJ14917'],"[{'GeneLocus': '6q25.3', 'LocusKey': 1}]",22683713[PMID]
352333,Congenital ichthyosis-intellectual disability-spastic quadriplegia syndrome,Disease,ELOVL4,ELOVL fatty acid elongase 4,gene with protein product,"['CT118', 'cancer/testis antigen 118']","[{'GeneLocus': '6q14.1', 'LocusKey': 1}]",22100072[PMID]
352403,Spectrin-associated autosomal recessive cerebellar ataxia,Disease,SPTBN2,"spectrin beta, non-erythrocytic 2",gene with protein product,,"[{'GeneLocus': '11q13.2', 'LocusKey': 1}]",23236289[PMID]
352447,Progressive external ophthalmoplegia-myopathy-emaciation syndrome,Disease,MGME1,mitochondrial genome maintenance exonuclease 1,gene with protein product,"['DDK1', 'bA504H3.4']","[{'GeneLocus': '20p11.23', 'LocusKey': 1}]",23313956[PMID]
352470,DNA2-related mitochondrial DNA deletion syndrome,Disease,DNA2,DNA replication helicase/nuclease 2,gene with protein product,['KIAA0083'],"[{'GeneLocus': '10q21.3', 'LocusKey': 1}]",23352259[PMID]
352479,ISPD-related limb-girdle muscular dystrophy R20,Disease,CRPPA,CDP-L-ribitol pyrophosphorylase A,gene with protein product,"['4-diphosphocytidyl-2C-methyl-D-erythritol synthase homolog (Arabidopsis)', 'D-ribitol-5-phosphate cytidylyltransferase', 'IspD', 'Nip', 'Notch1-induced protein', 'hCG_1745121', 'notch1-induced protein']","[{'GeneLocus': '7p21.2', 'LocusKey': 1}]",23288328[PMID]
352490,Autism spectrum disorder due to AUTS2 deficiency,Disease,AUTS2,activator of transcription and developmental regulator AUTS2,gene with protein product,"['FBRSL2', 'KIAA0442']","[{'GeneLocus': '7q11.22', 'LocusKey': 1}]",23332918[PMID]
352530,Intellectual disability-obesity-brain malformations-facial dysmorphism syndrome,Disease,TRAPPC9,trafficking protein particle complex subunit 9,gene with protein product,"['IKBKBBP', 'KIAA1882', 'MRT13', 'NIBP', 'T1', 'TRAPP 120 kDa subunit', 'TRS120', 'tularik gene 1']","[{'GeneLocus': '8q24.3', 'LocusKey': 1}]",22549410[PMID]
352563,Infantile hypertrophic cardiomyopathy due to MRPL44 deficiency,Disease,MRPL44,mitochondrial ribosomal protein L44,gene with protein product,"['39S ribosomal protein L44, mitochondrial', 'FLJ12701', 'FLJ13990', 'mL44']","[{'GeneLocus': '2q36.1', 'LocusKey': 1}]",23315540[PMID]
352577,Bainbridge-Ropers syndrome,Disease,ASXL3,ASXL transcriptional regulator 3,gene with protein product,,"[{'GeneLocus': '18q12.1', 'LocusKey': 1}]",23383720[PMID]
352582,Familial infantile myoclonic epilepsy,Disease,CPLX1,complexin 1,gene with protein product,['CPX-I'],"[{'GeneLocus': '4p16.3', 'LocusKey': 1}]",28422131[PMID]
352582,Familial infantile myoclonic epilepsy,Disease,TBC1D24,TBC1 domain family member 24,gene with protein product,"['DFNA65', 'KIAA1171', 'TBC/LysM-associated domain containing 6', 'TLDC6', 'deafness, autosomal dominant 65', 'skywalker homolog (Drosophila)']","[{'GeneLocus': '16p13.3', 'LocusKey': 1}]",20727515[PMID]
352587,Focal epilepsy-intellectual disability-cerebro-cerebellar malformation,Disease,TBC1D24,TBC1 domain family member 24,gene with protein product,"['DFNA65', 'KIAA1171', 'TBC/LysM-associated domain containing 6', 'TLDC6', 'deafness, autosomal dominant 65', 'skywalker homolog (Drosophila)']","[{'GeneLocus': '16p13.3', 'LocusKey': 1}]",23517570[PMID]
352596,Progressive myoclonic epilepsy with dystonia,Disease,TBC1D24,TBC1 domain family member 24,gene with protein product,"['DFNA65', 'KIAA1171', 'TBC/LysM-associated domain containing 6', 'TLDC6', 'deafness, autosomal dominant 65', 'skywalker homolog (Drosophila)']","[{'GeneLocus': '16p13.3', 'LocusKey': 1}]",21087195[PMID]_23343562[PMID]
352641,Autosomal recessive cerebellar ataxia with late-onset spasticity,Disease,GBA2,glucosylceramidase beta 2,gene with protein product,"['AD035', 'Bile acid beta-glucosidase', 'DKFZp762K054', 'KIAA1605', 'Non-lysosomal glucosylceramidase', 'bile acid beta-glucosidase', 'glucocerebrosidase 2', 'non-lysosomal glucosylceramidase']","[{'GeneLocus': '9p13.3', 'LocusKey': 1}]",23332917[PMID]
352649,Brain dopamine-serotonin vesicular transport disease,Disease,SLC18A2,solute carrier family 18 member A2,gene with protein product,"['SVAT', 'SVMT', 'Synaptic vesicular amine transporter', 'VAT2']","[{'GeneLocus': '10q25.3', 'LocusKey': 1}]",23363473[PMID]
352654,Early-onset progressive neurodegeneration-blindness-ataxia-spasticity syndrome,Disease,UCHL1,ubiquitin C-terminal hydrolase L1,gene with protein product,"['PGP9.5', 'UCHL-1', 'Uch-L1', 'ubiquitin thiolesterase']","[{'GeneLocus': '4p13', 'LocusKey': 1}]",23359680[PMID]
352662,Corneal intraepithelial dyskeratosis-palmoplantar hyperkeratosis-laryngeal dyskeratosis syndrome,Disease,NLRP1,NLR family pyrin domain containing 1,gene with protein product,"['CARD7', 'CLR17.1', 'DEFCAP', 'DKFZp586O1822', 'KIAA0926', 'NAC', 'VAMAS1', 'nucleotide-binding oligomerization domain, leucine rich repeat and pyrin domain containing 1']","[{'GeneLocus': '17p13', 'LocusKey': 1}]",23349227[PMID]
352665,Neurodevelopmental disorder-craniofacial dysmorphism-cardiac defect-skeletal anomalies syndrome due to 9q21.3 microdeletion,Etiological subtype,HNRNPK,heterogeneous nuclear ribonucleoprotein K,gene with protein product,"['CSBP', 'TUNP', 'transformation upregulated nuclear protein']","[{'GeneLocus': '9q21.32', 'LocusKey': 1}]",26173930[PMID]_24501764[PMID]_25348648[PMID]
352670,Autosomal dominant intermediate Charcot-Marie-Tooth disease type F,Disease,GNB4,G protein subunit beta 4,gene with protein product,"['Guanine nucleotide-binding protein subunit beta-4', 'transducin beta chain 4']","[{'GeneLocus': '3q26.33', 'LocusKey': 1}]",23434117[PMID]
352675,X-linked Charcot-Marie-Tooth disease type 6,Disease,PDK3,pyruvate dehydrogenase kinase 3,gene with protein product,,"[{'GeneLocus': 'Xp22.11', 'LocusKey': 1}]",23297365[PMID]
352682,Cobblestone lissencephaly without muscular or ocular involvement,Disease,LAMB1,laminin subunit beta 1,gene with protein product,,"[{'GeneLocus': '7q31.1', 'LocusKey': 1}]",23472759[PMID]
352709,CLN13 disease,Disease,CTSF,cathepsin F,gene with protein product,"['CATSF', 'CLN13']","[{'GeneLocus': '11q13.2', 'LocusKey': 1}]",21990111[PMID]_22778232[PMID]
352712,Facial dysmorphism-immunodeficiency-livedo-short stature syndrome,Disease,POLE,"DNA polymerase epsilon, catalytic subunit",gene with protein product,"['DNA polymerase epsilon catalytic subunit A', 'POLE1']","[{'GeneLocus': '12q24.33', 'LocusKey': 1}]",23230001[PMID]
352718,Progressive retinal dystrophy due to retinol transport defect,Disease,RBP4,retinol binding protein 4,gene with protein product,,"[{'GeneLocus': '10q23.33', 'LocusKey': 1}]",23189188[PMID]
352723,Attenuated Chédiak-Higashi syndrome,Disease,LYST,lysosomal trafficking regulator,gene with protein product,"['CHS', 'Mauve']","[{'GeneLocus': '1q42.3', 'LocusKey': 1}]",23521865[PMID]
352734,Minimal pigment oculocutaneous albinism type 1,Clinical subtype,TYR,tyrosinase,gene with protein product,"['OCA1', 'OCA1A', 'OCAIA', 'oculocutaneous albinism IA']","[{'GeneLocus': '11q14.3', 'LocusKey': 1}]",20301345[PMID]
352737,Temperature-sensitive oculocutaneous albinism type 1,Clinical subtype,TYR,tyrosinase,gene with protein product,"['OCA1', 'OCA1A', 'OCAIA', 'oculocutaneous albinism IA']","[{'GeneLocus': '11q14.3', 'LocusKey': 1}]",20301345[PMID]
352745,Oculocutaneous albinism type 7,Disease,LRMDA,leucine rich melanocyte differentiation associated,gene with protein product,"['CDA017', 'OCA7', 'oculocutaneous albinism 7, autosomal recessive']","[{'GeneLocus': '10q22.2-q22.3', 'LocusKey': 1}]",23395477[PMID]
353217,Epileptic encephalopathy with global cerebral demyelination,Disease,SLC25A12,solute carrier family 25 member 12,gene with protein product,"['AGC1', 'Aralar', 'Electrogenic aspartate/glutamate antiporter SLC25A12, mitochondrial', 'aralar1', 'aspartate/glutamate carrier 1']","[{'GeneLocus': '2q31.1', 'LocusKey': 1}]",19641205[PMID]
353220,Familial primary localized cutaneous amyloidosis,Disease,OSMR,oncostatin M receptor,gene with protein product,"['OSMRB', 'OSMRbeta', 'Oncostatin-M-specific receptor subunit beta']","[{'GeneLocus': '5p13.1', 'LocusKey': 1}]",20507362[PMID]
353220,Familial primary localized cutaneous amyloidosis,Disease,IL31RA,interleukin 31 receptor A,gene with protein product,"['CRL', 'CRL3', 'GLM-R', 'Glmr', 'IL-31RA']","[{'GeneLocus': '5q11.2', 'LocusKey': 1}]",19690585[PMID]
353277,Rubinstein-Taybi syndrome due to CREBBP mutations,Etiological subtype,CREBBP,CREB binding protein,gene with protein product,"['CBP', 'KAT3A', 'RTS']","[{'GeneLocus': '16p13.3', 'LocusKey': 1}]",20301699[PMID]
353281,Rubinstein-Taybi syndrome due to 16p13.3 microdeletion,Etiological subtype,CREBBP,CREB binding protein,gene with protein product,"['CBP', 'KAT3A', 'RTS']","[{'GeneLocus': '16p13.3', 'LocusKey': 1}]",20301699[PMID]
353284,Rubinstein-Taybi syndrome due to EP300 haploinsufficiency,Etiological subtype,EP300,E1A binding protein p300,gene with protein product,"['KAT3B', 'histone acetyltransferase p300', 'p300']","[{'GeneLocus': '22q13.2', 'LocusKey': 1}]",20301699[PMID]
353298,Roifman syndrome,Disease,RNU4ATAC,"RNA, U4atac small nuclear",Non-coding RNA,"['RNU4ATAC1', 'U4atac', 'U4atac snRNA']","[{'GeneLocus': '2q14.2', 'LocusKey': 1}]",26522830[PMID]
353308,"Pyruvate carboxylase deficiency, infantile type",Clinical subtype,PC,pyruvate carboxylase,gene with protein product,['PCB'],"[{'GeneLocus': '11q13.2', 'LocusKey': 1}]",20301764[PMID]
353314,"Pyruvate carboxylase deficiency, severe neonatal type",Clinical subtype,PC,pyruvate carboxylase,gene with protein product,['PCB'],"[{'GeneLocus': '11q13.2', 'LocusKey': 1}]",20301764[PMID]
353320,"Pyruvate carboxylase deficiency, benign type",Clinical subtype,PC,pyruvate carboxylase,gene with protein product,['PCB'],"[{'GeneLocus': '11q13.2', 'LocusKey': 1}]",20301764[PMID]
353327,Congenital myasthenic syndromes with glycosylation defect,Etiological subtype,ALG2,"ALG2 alpha-1,3/1,6-mannosyltransferase",gene with protein product,"['CDG1I', 'CDGIi', 'FLJ14511', 'NET38', 'hALPG2']","[{'GeneLocus': '9q22.33', 'LocusKey': 1}]",23404334[PMID]
353327,Congenital myasthenic syndromes with glycosylation defect,Etiological subtype,DPAGT1,dolichyl-phosphate N-acetylglucosaminephosphotransferase 1,gene with protein product,"['ALG7', 'CDG-Ij', 'D11S366', 'DGPT', 'GPT', 'GlcNAc-1-P transferase 1', 'UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase 1']","[{'GeneLocus': '11q23.3', 'LocusKey': 1}]",23404334[PMID]_22742743[PMID]
353327,Congenital myasthenic syndromes with glycosylation defect,Etiological subtype,GFPT1,glutamine--fructose-6-phosphate transaminase 1,gene with protein product,"['GFA', 'GFAT', 'GFAT1']","[{'GeneLocus': '2p13.3', 'LocusKey': 1}]",23404334[PMID]_21310273[PMID]
353327,Congenital myasthenic syndromes with glycosylation defect,Etiological subtype,ALG14,ALG14 UDP-N-acetylglucosaminyltransferase subunit,gene with protein product,['MGC19780'],"[{'GeneLocus': '1p21.3', 'LocusKey': 1}]",23404334[PMID]
353327,Congenital myasthenic syndromes with glycosylation defect,Etiological subtype,GMPPB,GDP-mannose pyrophosphorylase B,gene with protein product,"['KIAA1851', 'mannose-1-phosphate guanyltransferase beta']","[{'GeneLocus': '3p21.31', 'LocusKey': 1}]",26133662[PMID]
356961,SLC35A2-CDG,Disease,SLC35A2,solute carrier family 35 member A2,gene with protein product,"['UDP-Gal-Tr', 'UDP-galactose translocator', 'UGAT', 'UGT', 'UGT1', 'UGT2', 'UGTL']","[{'GeneLocus': 'Xp11.23', 'LocusKey': 1}]",23561849[PMID]
356978,"D,L-2-hydroxyglutaric aciduria",Disease,SLC25A1,solute carrier family 25 member 1,gene with protein product,"['CIC', 'CTP', 'Tricarboxylate transport protein, mitochondrial', 'citrate isocitrate carrier', 'citrate transport protein']","[{'GeneLocus': '22q11.21', 'LocusKey': 1}]",23561848[PMID]_23393310[PMID]
356996,ANK3-related intellectual disability-sleep disturbance syndrome,Disease,ANK3,ankyrin 3,gene with protein product,"['ankyrin-3, node of Ranvier', 'ankyrin-G']","[{'GeneLocus': '10q21.2', 'LocusKey': 1}]",23390136[PMID]
357008,Hemolytic uremic syndrome with DGKE deficiency,Disease,DGKE,diacylglycerol kinase epsilon,gene with protein product,"['DAGK6', 'DGK']","[{'GeneLocus': '17q22', 'LocusKey': 1}]",23542698[PMID]_20301541[PMID]
357027,Hereditary retinoblastoma,Clinical subtype,RB1,RB transcriptional corepressor 1,gene with protein product,"['PPP1R130', 'RB', 'prepro-retinoblastoma-associated protein', 'protein phosphatase 1, regulatory subunit 130']","[{'GeneLocus': '13q14.2', 'LocusKey': 1}]",20301625[PMID]_23498719[PMID]_23498780[PMID]_16934146[PMID]
357027,Hereditary retinoblastoma,Clinical subtype,MYCN,"MYCN proto-oncogene, bHLH transcription factor",gene with protein product,"['MYCNOT', 'N-myc', 'bHLHe37']","[{'GeneLocus': '2p24.3', 'LocusKey': 1}]",23498719[PMID]_23498720[PMID]
357034,Non-hereditary retinoblastoma,Clinical subtype,RB1,RB transcriptional corepressor 1,gene with protein product,"['PPP1R130', 'RB', 'prepro-retinoblastoma-associated protein', 'protein phosphatase 1, regulatory subunit 130']","[{'GeneLocus': '13q14.2', 'LocusKey': 1}]",23498719[PMID]_23498780[PMID]_16934146[PMID]
357034,Non-hereditary retinoblastoma,Clinical subtype,MYCN,"MYCN proto-oncogene, bHLH transcription factor",gene with protein product,"['MYCNOT', 'N-myc', 'bHLHe37']","[{'GeneLocus': '2p24.3', 'LocusKey': 1}]",23498719[PMID]_23498720[PMID]
357043,Amyotrophic lateral sclerosis type 4,Disease,SETX,senataxin,gene with protein product,"['AOA2', 'KIAA0625', 'STEX', 'Sen1']","[{'GeneLocus': '9q34.13', 'LocusKey': 1}]",15106121[PMID]_15478096[PMID]
357064,Autosomal recessive cutis laxa type 2B,Disease,PYCR1,pyrroline-5-carboxylate reductase 1,gene with protein product,['P5C'],"[{'GeneLocus': '17q25.3', 'LocusKey': 1}]",19576563[PMID]
357074,"Autosomal recessive cutis laxa type 2, classic type",Clinical subtype,ATP6V1E1,ATPase H+ transporting V1 subunit E1,gene with protein product,"['ATP6E2', 'P31', 'V-ATPase subunit E1', 'Vma4']","[{'GeneLocus': '22q11.21', 'LocusKey': 1}]",28065471[PMID]
357074,"Autosomal recessive cutis laxa type 2, classic type",Clinical subtype,ATP6V1A,ATPase H+ transporting V1 subunit A,gene with protein product,"['V-ATPase subunit A', 'V-type proton ATPase (V-ATPase) catalytic subunit A', 'VA68', 'Vma1']","[{'GeneLocus': '3q13.31', 'LocusKey': 1}]",28065471[PMID]
357074,"Autosomal recessive cutis laxa type 2, classic type",Clinical subtype,ATP6V0A2,ATPase H+ transporting V0 subunit a2,gene with protein product,"['ATP6N1D', 'ATP6a2', 'J6B7', 'RTF', 'Stv1', 'TJ6', 'TJ6M', 'TJ6s', 'V-ATPase subunit a2', 'V-type proton ATPase 116 kDa subunit a2', 'Vph1', 'a2', 'a2V', 'regeneration and tolerance factor']","[{'GeneLocus': '12q24.31', 'LocusKey': 1}]",20301755[PMID]_19321599[PMID]_18157129[PMID]
357237,Combined immunodeficiency due to CARD11 deficiency,Disease,CARD11,caspase recruitment domain family member 11,gene with protein product,"['BIMP3', 'CARMA1', 'bcl10-interacting maguk protein 3', 'card-maguk protein 1']","[{'GeneLocus': '7p22.2', 'LocusKey': 1}]",23561803[PMID]_23374270[PMID]
357329,Combined immunodeficiency due to IL21R deficiency,Disease,IL21R,interleukin 21 receptor,gene with protein product,['CD360'],"[{'GeneLocus': '16p12.1', 'LocusKey': 1}]",23440042[PMID]
363396,High myopia-sensorineural deafness syndrome,Disease,SLITRK6,SLIT and NTRK like family member 6,gene with protein product,['FLJ22774'],"[{'GeneLocus': '13q31.1', 'LocusKey': 1}]",23543054[PMID]
363400,Severe neurodegenerative syndrome with lipodystrophy,Disease,BSCL2,"BSCL2 lipid droplet biogenesis associated, seipin",gene with protein product,['seipin'],"[{'GeneLocus': '11q12.3', 'LocusKey': 1}]",23564749[PMID]
363409,Fetal akinesia-cerebral and retinal hemorrhage syndrome,Disease,DNM2,dynamin 2,gene with protein product,"['CMT2M', 'CMTDI1', 'CMTDIB', 'DI-CMTB', 'DYN2', 'DYNII', 'cytoskeletal protein', 'dynamin II']","[{'GeneLocus': '19p13.2', 'LocusKey': 1}]",23092955[PMID]
363412,Hypomyelination with brain stem and spinal cord involvement and leg spasticity,Disease,DARS1,aspartyl-tRNA synthetase 1,gene with protein product,"['aspartate tRNA ligase 1, cytoplasmic']","[{'GeneLocus': '2q21.3', 'LocusKey': 1}]",23643384[PMID]
363417,Temtamy preaxial brachydactyly syndrome,Malformation syndrome,CHSY1,chondroitin sulfate synthase 1,gene with protein product,"['CSS1', 'KIAA0990']","[{'GeneLocus': '15q26.3', 'LocusKey': 1}]",21129728[PMID]
363424,Multiple mitochondrial dysfunctions syndrome type 3,Disease,IBA57,iron-sulfur cluster assembly factor IBA57,gene with protein product,"['FLJ12734', 'iron-sulfur cluster assembly factor for biotin synthase- and aconitase-like mitochondrial proteins, with a mass of 57kDa']","[{'GeneLocus': '1q42.13', 'LocusKey': 1}]",23462291[PMID]
363432,Autosomal recessive congenital cerebellar ataxia due to GRID2 deficiency,Clinical subtype,GRID2,glutamate ionotropic receptor delta type subunit 2,gene with protein product,"['GluD2', 'GluR-delta-2']","[{'GeneLocus': '4q22.1-q22.2', 'LocusKey': 1}]",23611888[PMID]
363444,THOC6-related developmental delay-microcephaly-facial dysmorphism syndrome,Malformation syndrome,THOC6,THO complex subunit 6,gene with protein product,"['MGC2655', 'fSAP35', 'functional spliceosome-associated protein 35']","[{'GeneLocus': '16p13.3', 'LocusKey': 1}]",23621916[PMID]
363454,BICD2-related autosomal dominant childhood-onset proximal spinal muscular atrophy,Etiological subtype,BICD2,BICD cargo adaptor 2,gene with protein product,['KIAA0699'],"[{'GeneLocus': '9q22.31', 'LocusKey': 1}]",23664119[PMID]
363494,Non-seminomatous germ cell tumor of testis,Disease,KITLG,KIT ligand,gene with protein product,"['DFNA69', 'FPH2', 'KL-1', 'Kitl', 'SCF', 'SF', 'SLF', 'familial progressive hyperpigmentation 2', 'mast cell growth factor', 'steel factor', 'stem cell factor']","[{'GeneLocus': '12q21.32', 'LocusKey': 1}]",19483682[PMID]_20228134[PMID]_23640991[PMID]
363494,Non-seminomatous germ cell tumor of testis,Disease,SPRY4,sprouty RTK signaling antagonist 4,gene with protein product,,"[{'GeneLocus': '5q31.3', 'LocusKey': 1}]",19483682[PMID]_23640991[PMID]
363523,Hypohidrosis-enamel hypoplasia-palmoplantar keratoderma-intellectual disability syndrome,Disease,COG6,component of oligomeric golgi complex 6,gene with protein product,"['COD2', 'KIAA1134']","[{'GeneLocus': '13q14.11', 'LocusKey': 1}]",23606727[PMID]
363528,Intellectual disability-strabismus syndrome,Disease,ADAT3,adenosine deaminase tRNA specific 3,gene with protein product,"['TAD3', 'tRNA-specific adenosine deaminase 3 homolog (S. cerevisiae)']","[{'GeneLocus': '19p13.3', 'LocusKey': 1}]",23620220[PMID]
363534,"Mitochondrial DNA depletion syndrome, hepatocerebrorenal form",Disease,TWNK,twinkle mtDNA helicase,gene with protein product,"['FLJ21832', 'PEO', 'PEO1', 'T7 helicase-related protein with intramitochondrial nucleoid localization', 'TWINKLE', 'TWINL']","[{'GeneLocus': '10q24.31', 'LocusKey': 1}]",23375728[PMID]
363540,Leukoencephalopathy with mild cerebellar ataxia and white matter edema,Disease,CLCN2,chloride voltage-gated channel 2,gene with protein product,"['CLC2', 'ClC-2', 'EJM6']","[{'GeneLocus': '3q27.1', 'LocusKey': 1}]",23707145[PMID]
363549,Acute encephalopathy with biphasic seizures and late reduced diffusion,Disease,ADORA2A,adenosine A2a receptor,gene with protein product,['RDC8'],"[{'GeneLocus': '22q11.23', 'LocusKey': 1}]",23535492[PMID]
363611,CTCF-related neurodevelopmental disorder,Disease,CTCF,CCCTC-binding factor,gene with protein product,"['11 zinc finger transcriptional repressor', 'CFAP108', 'FAP108']","[{'GeneLocus': '16q22.1', 'LocusKey': 1}]",23746550[PMID]
363618,LMNA-related cardiocutaneous progeria syndrome,Disease,LMNA,lamin A/C,gene with protein product,"['HGPS', 'MADA', 'mandibuloacral dysplasia type A', 'progerin']","[{'GeneLocus': '1q22', 'LocusKey': 1}]",23666920[PMID]
363623,GMPPB-related limb-girdle muscular dystrophy R19,Disease,GMPPB,GDP-mannose pyrophosphorylase B,gene with protein product,"['KIAA1851', 'mannose-1-phosphate guanyltransferase beta']","[{'GeneLocus': '3p21.31', 'LocusKey': 1}]",23768512[PMID]
363649,Mandibular hypoplasia-deafness-progeroid features-lipodystrophy syndrome,Disease,POLD1,"DNA polymerase delta 1, catalytic subunit",gene with protein product,"['CDC2', 'CDC2 homolog (S. cerevisiae)']","[{'GeneLocus': '19q13.3', 'LocusKey': 1}]",23770608[PMID]
